gene_name	length	exons
AHCY	2549	11
AHCYL1	5795	21
AHCYL2	5811	19
AHDC1	6365	7
AHI1	5928	30
AHNAK	19272	7
AHNAK2	18324	7
AHR	6258	11
AHRR	5672	12
AHSA1	1409	9
AHSA2	3037	6
AHSG	1580	7
AHSP	509	3
AICDA	2799	5
AIDA	2892	9
AIF1	2211	9
AIF1L	3700	9
AIFM1	3181	16
AIFM2	3249	9
AIFM3	2654	22
AIG1	7835	10
AIM1	7165	17
AIM1L	4482	14
AIM2	1490	6
AIMP1	3269	9
AIMP2	1223	4
AIP	1575	8
AIPL1	4353	12
AIRE	2313	14
AIRN	5867	4
AJAP1	3324	7
AJUBA	5276	10
AK1	2273	7
AK2	6048	10
AK3	4629	8
AK4	7509	8
AK5	4343	15
AK6	1309	6
AK7	3188	17
AK8	2119	13
AK9	7345	39
AKAP1	5868	16
AKAP10	3956	15
AKAP11	9933	13
AKAP12	8795	6
AKAP13	13710	40
AKAP14	1012	8
AKAP17A	5141	7
AKAP2	7104	6
AKAP3	3628	7
AKAP4	3352	8
AKAP5	6489	2
AKAP6	10401	14
AKAP7	3471	10
AKAP8	3557	14
AKAP8L	2506	17
AKAP9	11816	46
AKIP1	1713	6
AKIRIN1	2731	5
AKIRIN2	1937	5
AKNA	7405	22
AKNAD1	3315	17
AKR1A1	1876	12
AKR1B1	1408	10
AKR1B10	1606	10
AKR1B15	1637	12
AKR1C1	1120	8
AKR1C2	4167	12
AKR1C3	2108	11
AKR1C4	1083	8
AKR1C6P	1408	11
AKR1C8P	2135	8
AKR1D1	2719	9
AKR1E2	1905	12
AKR7A2	2626	7
AKR7A2P1	1325	1
AKR7A3	1248	7
AKR7L	2321	7
AKT1	3218	15
AKT1S1	3533	9
AKT2	5062	13
AKT3	7476	17
AKTIP	4161	12
ALAD	3195	12
ALAS1	2685	13
ALAS2	2022	11
ALB	1761	11
ALCAM	6481	16
ALDH16A1	2936	16
ALDH18A1	3635	19
ALDH1A1	2382	13
ALDH1A2	3955	15
ALDH1A3	3620	13
ALDH1B1	3072	2
ALDH1L1	3556	24
ALDH1L1-AS1	441	4
ALDH1L1-AS2	2325	2
ALDH1L2	7510	23
ALDH2	2073	13
ALDH3A1	2285	12
ALDH3A2	5873	12
ALDH3B1	3111	12
ALDH3B2	2700	11
ALDH4A1	4065	17
ALDH5A1	5036	10
ALDH6A1	5287	14
ALDH7A1	4855	17
ALDH8A1	2565	7
ALDH9A1	2511	11
ALDOA	3332	18
ALDOB	2435	9
ALDOC	1660	9
ALG1	3835	12
ALG10	3130	3
ALG10B	15892	4
ALG11	2569	4
ALG12	2383	10
ALG13	7167	32
ALG14	1099	5
ALG1L	928	7
ALG1L2	865	7
ALG1L9P	3876	6
ALG2	2992	3
ALG3	2034	11
ALG5	1296	11
ALG6	3300	14
ALG8	1616	13
ALG9	6610	16
ALK	5936	26
ALKBH1	2591	6
ALKBH2	1623	6
ALKBH3	1474	9
ALKBH3-AS1	1933	6
ALKBH4	2124	3
ALKBH5	3437	4
ALKBH6	1933	10
ALKBH7	1335	4
ALKBH8	4050	12
ALLC	1456	12
ALMS1	12403	20
ALMS1-IT1	1763	2
ALMS1P	1599	7
ALOX12	2372	14
ALOX12-AS1	654	3
ALOX12B	2517	15
ALOX12P2	3011	16
ALOX15	2698	14
ALOX15B	2887	15
ALOX15P1	677	5
ALOX5	2659	15
ALOX5AP	1402	7
ALOXE3	3471	17
ALPI	3031	9
ALPK1	5598	17
ALPK2	7313	13
ALPK3	10931	14
ALPL	2487	11
ALPP	2728	9
ALPPL2	2251	9
ALS2	9070	32
ALS2CL	5417	26
ALS2CR11	7724	17
ALS2CR12	2747	19
ALX1	1297	4
ALX3	1482	4
ALX4	5470	4
ALYREF	1103	6
AMACR	5127	7
AMBN	1889	10
AMBP	1299	9
AMBRA1	7022	22
AMD1	3628	10
AMDHD1	2145	9
AMDHD2	2346	12
AMELX	799	6
AMELY	808	6
AMER1	8445	2
AMER2	20548	4
AMER3	12581	5
AMFR	3614	14
AMH	2023	5
AMHR2	2008	12
AMICA1	2994	13
AMIGO1	2473	2
AMIGO2	6421	4
AMIGO3	2973	1
AMMECR1	6167	9
AMMECR1L	4785	9
AMN	1316	10
AMN1	2601	11
AMOT	7399	13
AMOTL1	8861	12
AMOTL2	5730	13
AMPD1	1915	13
AMPD2	4988	20
AMPD3	5317	17
AMPH	3422	20
AMT	3062	12
AMTN	1097	10
AMY1A	2042	12
AMY1B	1849	11
AMY1C	1871	11
AMY2A	1689	10
AMY2B	2254	12
AMZ1	4526	8
AMZ2	2480	13
AMZ2P1	3447	5
ANAPC1	6902	39
ANAPC10	2052	10
ANAPC11	2081	12
ANAPC13	2206	5
ANAPC15	1898	14
ANAPC16	3648	6
ANAPC1P1	1786	15
ANAPC2	2713	13
ANAPC4	2618	28
ANAPC5	2894	19
ANAPC7	3807	12
ANG	1327	3
ANGEL1	4050	9
ANGEL2	5589	12
ANGPT1	4578	10
ANGPT2	5273	9
ANGPT4	1930	9
ANGPTL1	3552	6
ANGPTL2	3577	5
ANGPTL3	2958	7
ANGPTL4	2096	8
ANGPTL5	2377	9
ANGPTL6	1863	6
ANGPTL7	2295	5
ANHX	1774	9
ANK1	7518	30
ANK2	12672	32
ANK3	17195	35
ANKAR	4196	22
ANKDD1A	2527	9
ANKDD1B	1966	8
ANKEF1	3934	12
ANKFN1	2443	17
ANKFY1	8196	25
ANKH	8219	12
ANKHD1	8147	33
ANKHD1-EIF4EBP3	7801	32
ANKIB1	6011	19
ANKK1	2551	8
ANKLE1	4203	11
ANKLE2	4495	13
ANKMY1	3758	19
ANKMY2	2565	10
ANKRA2	2207	9
ANKRD1	1683	6
ANKRD10	3405	10
ANKRD11	10224	17
ANKRD12	11488	13
ANKRD13A	3923	15
ANKRD13B	3188	15
ANKRD13C	5680	13
ANKRD13D	2500	17
ANKRD16	2838	9
ANKRD17	9402	34
ANKRD18A	3754	16
ANKRD18B	3769	16
ANKRD18DP	2850	9
ANKRD19P	2317	10
ANKRD2	1218	6
ANKRD20A1	3526	15
ANKRD20A11P	1095	6
ANKRD20A12P	1749	5
ANKRD20A19P	5101	5
ANKRD20A2	3526	15
ANKRD20A3	3945	15
ANKRD20A4	3532	15
ANKRD20A5P	3723	16
ANKRD20A8P	3622	23
ANKRD20A9P	37568	1
ANKRD22	3989	6
ANKRD23	2164	5
ANKRD24	3859	21
ANKRD26	6538	30
ANKRD26P1	6140	17
ANKRD26P3	3471	18
ANKRD27	3927	24
ANKRD28	6139	24
ANKRD29	2871	5
ANKRD30A	3289	17
ANKRD30B	3488	17
ANKRD30BL	2176	8
ANKRD30BP2	3430	12
ANKRD30BP3	1322	8
ANKRD31	5806	23
ANKRD32	3524	19
ANKRD33	3231	10
ANKRD33B	9337	4
ANKRD34A	3616	4
ANKRD34B	3940	5
ANKRD34C	5426	2
ANKRD34C-AS1	695	2
ANKRD35	3541	16
ANKRD36	3587	23
ANKRD36B	4678	18
ANKRD36BP1	1851	1
ANKRD36BP2	1435	11
ANKRD36C	4706	23
ANKRD37	939	5
ANKRD39	902	4
ANKRD40	4174	5
ANKRD42	9216	19
ANKRD44	6082	23
ANKRD44-IT1	1075	6
ANKRD45	2677	6
ANKRD46	4518	9
ANKRD49	1908	3
ANKRD50	12266	6
ANKRD52	8054	21
ANKRD53	2127	7
ANKRD54	2153	8
ANKRD55	2512	12
ANKRD6	5826	14
ANKRD60	3411	4
ANKRD61	1426	3
ANKRD62	4747	14
ANKRD62P1-PARP4P3	1547	9
ANKRD63	1144	1
ANKRD65	2387	5
ANKRD66	1062	5
ANKRD7	1364	7
ANKRD9	1630	4
ANKS1A	6272	23
ANKS1B	11642	34
ANKS3	3489	21
ANKS4B	2908	2
ANKS6	7162	15
ANKUB1	2479	6
ANKZF1	2551	14
ANLN	4812	23
ANO1	5936	29
ANO1-AS2	807	3
ANO10	2747	13
ANO2	3811	27
ANO3	5963	27
ANO4	4454	29
ANO5	6510	21
ANO6	7069	22
ANO7	4319	23
ANO8	4058	17
ANO9	2898	23
ANOS1	6328	14
ANP32A	2473	7
ANP32A-IT1	3282	1
ANP32AP1	739	1
ANP32B	1623	7
ANP32C	706	1
ANP32D	397	1
ANP32E	5906	9
ANPEP	3604	20
ANTXR1	6891	17
ANTXR2	8794	18
ANTXRL	2147	15
ANTXRLP1	1170	5
ANXA1	1468	12
ANXA10	1459	12
ANXA11	3949	22
ANXA13	1528	11
ANXA2	1812	15
ANXA2P1	1344	1
ANXA2P2	1311	1
ANXA2P3	1351	1
ANXA2R	1267	1
ANXA3	1631	13
ANXA4	2155	13
ANXA5	1612	13
ANXA6	2106	16
ANXA7	2046	13
ANXA8	2192	12
ANXA8L1	2229	12
ANXA9	1648	12
AOAH	2396	19
AOAH-IT1	576	3
AOC1	2632	6
AOC2	2875	5
AOC3	4357	6
AOC4P	2074	1
AOX1	4648	32
AOX2P	3305	26
AP1AR	2918	10
AP1B1	4288	24
AP1B1P1	689	3
AP1G1	6726	23
AP1G2	3251	25
AP1M1	2404	13
AP1M2	1786	12
AP1S1	1302	5
AP1S2	2335	6
AP1S3	4047	6
AP2A1	3523	24
AP2A2	4827	23
AP2B1	5618	21
AP2M1	1952	12
AP2S1	1267	7
AP3B1	4282	27
AP3B2	3814	27
AP3D1	4624	27
AP3M1	5263	10
AP3M2	3680	10
AP3S1	1295	6
AP3S2	6149	8
AP4B1	3778	13
AP4B1-AS1	2033	7
AP4E1	6728	20
AP4M1	1775	14
AP4S1	6346	11
AP5B1	6597	2
AP5M1	3103	8
AP5S1	2379	5
AP5Z1	5394	16
APAF1	6354	20
APBA1	6597	13
APBA2	3651	14
APBA3	2169	11
APBB1	3895	21
APBB1IP	2652	15
APBB2	9917	24
APBB3	2545	15
APC	11234	18
APC2	9969	13
APCDD1	2567	5
APCDD1L	4106	6
APCDD1L-AS1	2103	7
APCS	933	2
APEH	2690	21
APELA	2625	3
APEX1	2226	8
APEX2	2101	6
APH1A	3230	9
APH1B	4199	6
API5	5952	17
APIP	1284	7
APITD1	1904	6
APITD1-CORT	2158	7
APLF	3859	10
APLN	3227	3
APLNR	5822	3
APLP1	2347	17
APLP2	4013	19
APMAP	2112	8
APOA1	901	4
APOA1-AS	565	2
APOA1BP	1127	6
APOA2	477	4
APOA4	1463	3
APOA5	1994	5
APOB	13790	27
APOBEC1	936	7
APOBEC2	1637	3
APOBEC3A	1541	6
APOBEC3A_B	1108	5
APOBEC3B	1767	9
APOBEC3B-AS1	707	5
APOBEC3C	1113	4
APOBEC3D	2229	6
APOBEC3F	4758	7
APOBEC3G	1687	7
APOBEC3H	1890	9
APOBEC4	2780	2
APOBR	3796	4
APOC1	465	4
APOC1P1	1189	6
APOC2	733	4
APOC3	537	4
APOC4	618	3
APOC4-APOC2	1835	6
APOD	1135	5
APOE	1627	8
APOF	1691	2
APOH	1209	8
APOL1	3127	8
APOL2	2896	7
APOL3	6170	10
APOL4	3421	6
APOL5	1442	5
APOL6	10142	3
APOLD1	4828	3
APOM	973	7
APOO	1302	10
APOOL	6476	9
APOOP5	1052	1
APOPT1	4556	10
APP	3866	19
APPBP2	6512	13
APPL1	5934	21
APPL2	3645	23
APRT	1051	6
APTR	1981	3
APTX	3910	16
AQP1	3459	8
AQP10	1797	6
AQP11	2156	3
AQP12A	1088	4
AQP12B	1117	3
AQP2	4183	4
AQP3	1877	6
AQP4	5638	6
AQP4-AS1	2400	8
AQP5	1829	4
AQP6	2658	4
AQP7	1264	8
AQP7P1	3184	4
AQP7P3	533	4
AQP8	1314	6
AQP9	3027	6
AQR	4878	33
AR	10847	9
ARAF	3189	17
ARAP1	5598	35
ARAP2	7014	30
ARAP3	5230	32
ARC	2951	3
ARCN1	4025	10
AREG	1282	6
AREL1	5465	20
ARF1	2515	8
ARF3	3542	5
ARF4	1746	6
ARF5	1102	6
ARF6	3941	2
ARFGAP1	4784	17
ARFGAP2	2785	14
ARFGAP3	2716	15
ARFGEF1	6830	36
ARFGEF2	7996	32
ARFGEF3	14513	31
ARFIP1	3396	11
ARFIP2	4076	10
ARFRP1	4905	13
ARG1	1680	9
ARG2	1988	8
ARGFX	5070	5
ARGFXP2	1205	1
ARGLU1	1755	4
ARHGAP1	3459	13
ARHGAP10	2918	22
ARHGAP11A	6661	16
ARHGAP11B	1024	7
ARHGAP12	4921	18
ARHGAP15	1673	13
ARHGAP17	3049	16
ARHGAP18	3514	15
ARHGAP19	5578	13
ARHGAP19-SLIT1	1785	13
ARHGAP20	6887	19
ARHGAP21	6986	24
ARHGAP22	4486	16
ARHGAP23	5693	22
ARHGAP24	5778	13
ARHGAP25	3829	13
ARHGAP26	9064	23
ARHGAP26-AS1	983	6
ARHGAP26-IT1	390	2
ARHGAP27	5624	21
ARHGAP28	5548	17
ARHGAP29	8672	20
ARHGAP30	6551	15
ARHGAP31	8091	12
ARHGAP31-AS1	626	2
ARHGAP32	10322	22
ARHGAP33	6026	23
ARHGAP35	8894	6
ARHGAP36	4518	14
ARHGAP39	5284	14
ARHGAP4	3395	23
ARHGAP40	2853	15
ARHGAP42	4554	22
ARHGAP44	4003	18
ARHGAP5	9757	8
ARHGAP5-AS1	1282	1
ARHGAP6	6702	18
ARHGAP8	1738	13
ARHGAP9	3229	19
ARHGDIA	4753	12
ARHGDIB	1222	6
ARHGDIG	948	6
ARHGEF1	2920	25
ARHGEF10	5758	31
ARHGEF10L	4288	27
ARHGEF11	6425	37
ARHGEF12	9575	37
ARHGEF15	3947	15
ARHGEF16	2919	15
ARHGEF17	7834	21
ARHGEF18	5910	21
ARHGEF19	2883	15
ARHGEF2	4318	22
ARHGEF25	2964	18
ARHGEF26	5430	16
ARHGEF26-AS1	2602	4
ARHGEF28	6546	38
ARHGEF3	4565	14
ARHGEF3-AS1	490	3
ARHGEF33	4069	14
ARHGEF34P	4217	13
ARHGEF35	2476	2
ARHGEF37	4878	13
ARHGEF38	6254	15
ARHGEF38-IT1	456	3
ARHGEF39	3772	9
ARHGEF4	5375	14
ARHGEF40	7129	26
ARHGEF5	5503	15
ARHGEF6	5541	23
ARHGEF7	8804	24
ARHGEF7-AS1	422	3
ARHGEF7-AS2	1241	2
ARHGEF9	6549	11
ARHGEF9-IT1	396	2
ARID1A	8605	20
ARID1B	9658	20
ARID2	8394	20
ARID3A	2819	9
ARID3B	4383	10
ARID3C	1246	7
ARID4A	5665	23
ARID4B	6339	24
ARID5A	2213	7
ARID5B	8225	11
ARIH1	5265	14
ARIH2	3861	14
ARIH2OS	1599	1
ARL1	3067	5
ARL10	2409	4
ARL11	3762	2
ARL13A	1817	10
ARL13B	6447	13
ARL14	1289	1
ARL14EP	2382	4
ARL14EPL	645	3
ARL15	2491	5
ARL16	1212	5
ARL17A	32920	20
ARL17B	870	5
ARL2	985	5
ARL2-SNX15	2474	11
ARL2BP	2106	6
ARL3	3880	6
ARL4A	6197	4
ARL4C	7848	3
ARL4D	1587	2
ARL5A	3455	9
ARL5B	3595	6
ARL5C	947	6
ARL6	2421	12
ARL6IP1	2270	6
ARL6IP4	4097	14
ARL6IP5	2131	3
ARL6IP6	2934	5
ARL8A	1802	7
ARL8B	2992	7
ARL9	840	4
ARMC1	3049	7
ARMC10	2641	7
ARMC12	1818	8
ARMC2	3754	18
ARMC2-AS1	720	3
ARMC3	4252	21
ARMC4	3677	22
ARMC5	7771	11
ARMC6	2497	9
ARMC7	3009	6
ARMC8	6489	21
ARMC9	7153	25
ARMCX1	2137	4
ARMCX2	3109	9
ARMCX3	3552	7
ARMCX4	19564	24
ARMCX5	3760	9
ARMCX5-GPRASP2	3947	7
ARMCX6	2680	6
ARMS2	810	2
ARMT1	2608	5
ARNT	4922	22
ARNT2	6362	18
ARNTL	3251	23
ARNTL2	7450	16
ARNTL2-AS1	817	4
ARPC1A	1721	11
ARPC1B	1541	10
ARPC2	1563	11
ARPC3	1053	8
ARPC4	2322	9
ARPC4-TTLL3	3999	12
ARPC5	2164	5
ARPC5L	1029	4
ARPIN	6742	7
ARPP19	5818	7
ARPP21	6926	26
ARR3	1287	16
ARRB1	7538	16
ARRB2	2380	19
ARRDC1	1606	8
ARRDC1-AS1	1549	4
ARRDC2	4142	10
ARRDC3	4169	8
ARRDC3-AS1	2505	3
ARRDC4	4075	8
